Tavole di mortalità della popolazione residente - Ripartizione: Italia - Femmine - Anno: 2014
Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;269;2,68543;99747;0,9997398;85,000
1;99731;20;0,20281;99721;0,9998235;84,227
2;99711;15;0,15016;99704;0,9998700;83,244
3;99696;11;0,10981;99691;0,9999023;82,257
4;99685;9;0,08568;99681;0,9999226;81,266
5;99677;7;0,06912;99673;0,9999345;80,272
6;99670;6;0,06180;99667;0,9999340;79,278
7;99664;7;0,07012;99660;0,9999306;78,283
8;99657;7;0,06859;99653;0,9999320;77,288
9;99650;7;0,06741;99647;0,9999330;76,294
10;99643;7;0,06663;99640;0,9999298;75,299
11;99637;7;0,07371;99633;0,9999223;74,304
12;99629;8;0,08164;99625;0,9999165;73,309
13;99621;9;0,08544;99617;0,9999104;72,315
14;99613;9;0,09379;99608;0,9999028;71,321
15;99603;10;0,10070;99598;0,9998898;70,328
16;99593;12;0,11978;99587;0,9998722;69,335
17;99581;14;0,13576;99574;0,9998608;68,343
18;99568;14;0,14261;99561;0,9998524;67,352
19;99554;15;0,15268;99546;0,9998481;66,362
20;99538;15;0,15122;99531;0,9998474;65,372
21;99523;15;0,15396;99516;0,9998428;64,382
22;99508;16;0,16041;99500;0,9998360;63,392
23;99492;17;0,16760;99484;0,9998288;62,402
24;99475;17;0,17485;99467;0,9998227;61,412
25;99458;18;0,17979;99449;0,9998186;60,423
26;99440;18;0,18299;99431;0,9998128;59,433
27;99422;19;0,19145;99412;0,9998016;58,444
28;99403;20;0,20531;99393;0,9997881;57,455
29;99382;22;0,21859;99372;0,9997730;56,467
30;99361;23;0,23548;99349;0,9997629;55,479
31;99337;24;0,23870;99325;0,9997524;54,492
32;99314;25;0,25648;99301;0,9997298;53,505
33;99288;28;0,28395;99274;0,9996977;52,519
34;99260;32;0,32068;99244;0,9996602;51,533
35;99228;36;0,35900;99210;0,9996144;50,550
36;99192;41;0,41225;99172;0,9995670;49,568
37;99152;45;0,45375;99129;0,9995257;48,588
38;99107;49;0,49484;99082;0,9994842;47,610
39;99058;53;0,53682;99031;0,9994435;46,633
40;99004;57;0,57625;98976;0,9994004;45,658
41;98947;62;0,62303;98916;0,9993398;44,684
42;98886;69;0,69730;98851;0,9992601;43,712
43;98817;77;0,78247;98778;0,9991701;42,742
44;98739;87;0,87734;98696;0,9990736;41,775
45;98653;96;0,97552;98605;0,9989818;40,811
46;98557;105;1,06093;98504;0,9988773;39,850
47;98452;117;1,18462;98394;0,9987591;38,892
48;98335;128;1,29726;98272;0,9986573;37,938
49;98208;136;1,38812;98140;0,9985411;36,986
50;98071;150;1,52975;97996;0,9984034;36,037
51;97921;163;1,66360;97840;0,9982611;35,092
52;97759;177;1,81426;97670;0,9980809;34,149
53;97581;198;2,02405;97482;0,9978668;33,210
54;97384;218;2,24250;97274;0,9976760;32,277
55;97165;234;2,40573;97048;0,9974774;31,348
56;96932;256;2,63981;96804;0,9972470;30,423
57;96676;277;2,86655;96537;0,9970059;29,502
58;96398;301;3,12200;96248;0,9967379;28,585
59;96098;327;3,40261;95934;0,9964250;27,673
60;95771;359;3,74797;95591;0,9960609;26,766
61;95412;394;4,13095;95215;0,9956912;25,865
62;95017;426;4,48736;94804;0,9952764;24,970
63;94591;469;4,96089;94356;0,9948059;24,080
64;94122;511;5,42857;93866;0,9942806;23,198
65;93611;563;6,01187;93330;0,9937966;22,322
66;93048;595;6,39609;92751;0,9933138;21,454
67;92453;645;6,97820;92130;0,9926626;20,588
68;91808;707;7,69911;91454;0,9918208;19,730
69;91101;789;8,66303;90706;0,9908596;18,879
70;90312;869;9,62199;89877;0,9897512;18,039
71;89443;973;10,88169;88956;0,9886309;17,210
72;88469;1049;11,86181;87945;0,9875668;16,394
73;87420;1137;13,01145;86851;0,9863109;15,584
74;86283;1240;14,37565;85662;0,9848865;14,783
75;85042;1349;15,86219;84368;0,9831038;13,992
76;83693;1502;17,94684;82942;0,9806754;13,209
77;82191;1704;20,72763;81339;0,9776261;12,441
78;80488;1936;24,05499;79520;0,9740008;11,694
79;78552;2199;27,99141;77452;0,9698837;10,970
80;76353;2466;32,30237;75120;0,9651459;10,272
81;73886;2770;37,49104;72501;0,9598522;9,598
82;71116;3051;42,90807;69591;0,9541696;8,952
83;68065;3327;48,88370;66401;0,9475618;8,331
84;64738;3637;56,17545;62919;0,9397183;7,733
85;61101;3949;64,63229;59126;0,9306446;7,164
86;57152;4252;74,40494;55026;0,9200661;6,624
87;52899;4544;85,90724;50627;0,9080825;6,117
88;48355;4763;98,49261;45974;0,8950240;5,645
89;43592;4890;112,16765;41148;0,8797714;5,207
90;38703;5005;129,30793;36200;0,8625652;4,801
91;33698;4946;146,76868;31225;0,8471670;4,440
92;28752;4599;159,94041;26453;0,8359207;4,118
93;24154;4082;169,00616;22113;0,8239644;3,807
94;20072;3703;184,49474;18220;0,8060571;3,479
95;16368;3364;205,52863;14686;0,7770544;3,153
96;13004;3184;244,86837;11412;0,7432594;2,840
97;9820;2676;272,46277;8482;0,7161284;2,599
98;7144;2140;299,55315;6074;0,6891494;2,384
99;5004;1636;326,97953;4186;0,6613309;2,190
100;3368;1199;356,03790;2768;0,6315018;2,012
101;2169;841;387,84756;1748;0,6001331;1,847
102;1328;557;419,50142;1049;0,5686188;1,701
103;771;348;451,84586;597;0,5365503;1,569
104;422;205;484,61861;320;0,5041837;1,450
105;218;113;517,54317;161;0,4717833;1,343
106;105;58;550,33987;76;0,4396133;1,247
107;47;28;582,72986;33;0,4079308;1,161
108;20;12;614,45116;14;0,3769745;1,085
109;8;5;645,26471;5;0,3469606;1,016
110;3;2;674,95635;2;0,3180790;0,956
111;1;1;703,34793;1;0,2904860;0,902
112;0;0;730,29934;0;0,2643041;0,854
113;0;0;755,70547;0;0,2396232;0,811
114;0;0;779,49832;0;0,2165006;0,773
115;0;0;801,64498;0;0,1949620;0,740
116;0;0;822,14367;0;0,1750067;0,711
117;0;0;841,01568;0;0,1566120;0,685
118;0;0;858,30946;0;0,1397326;0,662
119;0;0;874,08554;0;0,1243111;0,641
