Tavole di mortalità della popolazione residente - Ripartizione: Italia - Maschi - Anno: 2014
Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;325;3,25120;99694;0,9996921;80,317
1;99675;23;0,23100;99663;0,9997968;79,577
2;99652;17;0,17532;99643;0,9998458;78,596
3;99634;13;0,13298;99628;0,9998818;77,609
4;99621;10;0,10344;99616;0,9999031;76,619
5;99611;9;0,09042;99606;0,9999109;75,627
6;99602;9;0,08784;99597;0,9999153;74,634
7;99593;8;0,08160;99589;0,9999195;73,641
8;99585;8;0,07939;99581;0,9999214;72,647
9;99577;8;0,07778;99573;0,9999244;71,652
10;99569;7;0,07347;99566;0,9999240;70,658
11;99562;8;0,07858;99558;0,9999145;69,663
12;99554;9;0,09237;99550;0,9998962;68,668
13;99545;11;0,11517;99539;0,9998688;67,675
14;99533;15;0,14723;99526;0,9998308;66,683
15;99519;19;0,19114;99509;0,9997806;65,692
16;99500;25;0,24773;99487;0,9997261;64,705
17;99475;30;0,30015;99460;0,9996737;63,721
18;99445;35;0,35242;99428;0,9996269;62,740
19;99410;39;0,39388;99391;0,9995917;61,762
20;99371;42;0,42263;99350;0,9995717;60,786
21;99329;43;0,43393;99308;0,9995594;59,811
22;99286;44;0,44722;99264;0,9995428;58,837
23;99242;46;0,46716;99218;0,9995247;57,863
24;99195;48;0,48345;99171;0,9995137;56,890
25;99147;49;0,48922;99123;0,9995052;55,917
26;99099;50;0,50046;99074;0,9995046;54,944
27;99049;49;0,49041;99025;0,9995045;53,972
28;99001;50;0,50062;98976;0,9994901;52,998
29;98951;51;0,51914;98925;0,9994724;52,024
30;98900;53;0,53611;98873;0,9994568;51,051
31;98847;54;0,55037;98819;0,9994372;50,078
32;98792;57;0,57521;98764;0,9994074;49,105
33;98735;60;0,61006;98705;0,9993606;48,133
34;98675;66;0,66879;98642;0,9993086;47,162
35;98609;70;0,71406;98574;0,9992583;46,193
36;98539;76;0,76940;98501;0,9992081;45,226
37;98463;80;0,81433;98423;0,9991666;44,261
38;98383;84;0,85251;98341;0,9991271;43,296
39;98299;88;0,89336;98255;0,9990710;42,333
40;98211;95;0,96460;98164;0,9989907;41,370
41;98116;103;1,05408;98065;0,9988857;40,410
42;98013;115;1,17467;97955;0,9987633;39,452
43;97898;127;1,29886;97834;0,9986346;38,498
44;97771;140;1,43207;97701;0,9985034;37,547
45;97631;152;1,56119;97554;0,9983489;36,600
46;97478;170;1,74106;97393;0,9981635;35,657
47;97309;188;1,93220;97215;0,9979627;34,718
48;97120;208;2,14256;97016;0,9977500;33,784
49;96912;228;2,35773;96798;0,9975254;32,856
50;96684;251;2,59174;96559;0,9972927;31,932
51;96433;272;2,82310;96297;0,9970041;31,014
52;96161;305;3,16926;96009;0,9966709;30,100
53;95856;334;3,48938;95689;0,9963508;29,194
54;95522;364;3,80954;95340;0,9960064;28,295
55;95158;398;4,17846;94959;0,9956007;27,401
56;94760;438;4,62105;94541;0,9951305;26,514
57;94322;483;5,11915;94081;0,9946072;25,635
58;93840;532;5,66785;93574;0,9940424;24,764
59;93308;583;6,24898;93016;0,9934594;23,902
60;92725;634;6,83407;92408;0,9927506;23,049
61;92091;706;7,66766;91738;0,9919032;22,205
62;91385;779;8,52916;90995;0,9910028;21,372
63;90605;858;9,46929;90176;0,9900930;20,552
64;89747;929;10,34883;89283;0,9890358;19,744
65;88819;1029;11,58599;88304;0,9881346;18,945
66;87790;1066;12,14802;87256;0,9873362;18,161
67;86723;1144;13,18587;86151;0,9861722;17,378
68;85580;1239;14,47830;84960;0,9846420;16,604
69;84341;1371;16,25072;83655;0,9829431;15,840
70;82970;1483;17,87631;82228;0,9808078;15,094
71;81487;1673;20,53199;80650;0,9785474;14,359
72;79814;1787;22,39257;78920;0,9766607;13,650
73;78026;1897;24,30768;77078;0,9745444;12,951
74;76130;2027;26,63210;75116;0,9722929;12,261
75;74102;2135;28,81158;73035;0,9697131;11,583
76;71967;2289;31,80589;70823;0,9660822;10,912
77;69678;2515;36,09916;68421;0,9612991;10,254
78;67163;2781;41,40013;65773;0,9561275;9,619
79;64382;2991;46,45162;62887;0,9506709;9,013
80;61392;3214;52,34684;59785;0,9443167;8,428
81;58178;3444;59,20405;56456;0,9368659;7,866
82;54734;3684;67,31154;52892;0,9285824;7,329
83;51050;3871;75,81993;49114;0,9194293;6,822
84;47179;4044;85,71127;45157;0,9097227;6,341
85;43135;4110;95,27135;41080;0,8989924;5,888
86;39026;4189;107,34781;36931;0,8861196;5,456
87;34836;4222;121,19859;32725;0,8713658;5,052
88;30614;4197;137,09519;28516;0,8560161;4,679
89;26417;4015;151,96698;24410;0,8398977;4,343
90;22403;3802;169,69557;20502;0,8219325;4,032
91;18601;3500;188,15054;16851;0,8052778;3,754
92;15101;3063;202,81694;13570;0,7932221;3,508
93;12038;2549;211,74660;10764;0,7814542;3,273
94;9489;2156;227,17156;8411;0,7638953;3,018
95;7334;1816;247,66382;6425;0,7351638;2,758
96;5517;1587;287,66161;4724;0,7032829;2,502
97;3930;1216;309,42940;3322;0,6782926;2,310
98;2714;921;339,48681;2253;0,6475917;2,121
99;1793;667;371,97103;1459;0,6170555;1,954
100;1126;451;400,41732;900;0,5920064;1,815
101;675;284;420,62942;533;0,5672436;1,693
102;391;177;453,68760;302;0,5344369;1,559
103;214;104;487,30070;162;0,5012151;1,438
104;110;57;521,18440;81;0,4678545;1,329
105;52;29;555,03753;38;0,4346394;1,232
106;23;14;588,56043;16;0,4018498;1,145
107;10;6;621,45796;7;0,3697550;1,067
108;4;2;653,45777;2;0,3386024;0,998
109;1;1;684,30927;1;0,3086152;0,936
110;0;0;713,79773;0;0,2799835;0,882
111;0;0;741,74528;0;0,2528625;0,833
112;0;0;768,01691;0;0,2273700;0,791
113;0;0;792,51528;0;0,2035894;0,753
114;0;0;815,18474;0;0,1815677;0,720
115;0;0;836,00417;0;0,1613214;0,691
116;0;0;854,98684;0;0,1428368;0,666
117;0;0;872,17134;0;0,1260777;0,644
118;0;0;887,62044;0;0,1109862;0,624
119;0;0;901,41299;0;0,0974897;0,608
